"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"19938","zcta",2020,104.07,117.56,90.21,88.62,"economic_rnk",74.5579
"19939","zcta",2020,105.4,105.12,132.42,107.02,"economic_rnk",51.4824
"19940","zcta",2020,98.85,112.54,110.76,95.95,"economic_rnk",58.4558
"19941","zcta",2020,90.25,104.9,99.95,97.76,"economic_rnk",52.0644
"19943","zcta",2020,100.01,111.28,102.1,81.63,"economic_rnk",62.5943
"19944","zcta",2020,123.94,99.46,148.43,103,"economic_rnk",68.4428
"19945","zcta",2020,112.29,108.41,124.47,107.16,"economic_rnk",59.275
"19946","zcta",2020,92.46,115.03,109.63,88.09,"economic_rnk",51.7003
"19947","zcta",2020,92.71,111.95,111.89,105.26,"economic_rnk",43.186
"19950","zcta",2020,103.01,106.19,102.39,83.24,"economic_rnk",58.7126
"19951","zcta",2020,115.78,113.33,131.5,101.92,"economic_rnk",72.2594
"19952","zcta",2020,94.93,116.64,105.24,99.41,"economic_rnk",61.2809
"19953","zcta",2020,106.18,108.75,96.54,89.88,"economic_rnk",62.7211
"19954","zcta",2020,77.08,109.51,103.86,92.99,"economic_rnk",28.0689
"19955","zcta",2020,NA,NA,NA,NA,"economic_rnk",NA
"19956","zcta",2020,87.64,107.22,108.07,102.23,"economic_rnk",40.4194
"19958","zcta",2020,111.98,109.38,134.85,100.63,"economic_rnk",66.7588
"19960","zcta",2020,104.97,110.87,102.57,94.77,"economic_rnk",67.1099
"19962","zcta",2020,104.12,118.63,95.25,77.98,"economic_rnk",77.461
"19963","zcta",2020,100.1,112.8,102.62,83.25,"economic_rnk",63.6541
"19964","zcta",2020,92.52,116.06,100.12,103.72,"economic_rnk",45.4616
"19966","zcta",2020,106.2,117.76,125.32,100.25,"economic_rnk",62.0676
"19967","zcta",2020,120.87,97.64,142.38,86.64,"economic_rnk",65.5787
"19968","zcta",2020,107.75,111.33,110.97,99.7,"economic_rnk",71.5117
"19970","zcta",2020,109.6,113.44,126.97,99.33,"economic_rnk",72.2367
"19971","zcta",2020,125.16,113.96,127.18,110.29,"economic_rnk",76.3296
"19973","zcta",2020,95.1,108.19,107.93,101.67,"economic_rnk",53.8101
"19975","zcta",2020,111.7,108.79,135.94,106.13,"economic_rnk",57.565
"19977","zcta",2020,105.53,119.71,85.39,93.27,"economic_rnk",78.5956
"19979","zcta",2020,104.28,116.34,88.67,64.2,"economic_rnk",76.8173
"19701","zcta",2020,111.72,114.64,83.05,92.59,"economic_state_rnk",82.4561
"19702","zcta",2020,112.15,114.66,74.5,92.93,"economic_state_rnk",85.9649
"19703","zcta",2020,106.73,112.24,85.4,92.99,"economic_state_rnk",70.1754
"19706","zcta",2020,106.72,108.15,95.2,88.51,"economic_state_rnk",50.8772
"19707","zcta",2020,133.63,119.89,83.91,88.11,"economic_state_rnk",98.2456
"19709","zcta",2020,118.89,117.54,84.76,89.04,"economic_state_rnk",91.2281
"19710","zcta",2020,NA,NA,NA,NA,"economic_state_rnk",NA
"19711","zcta",2020,109.59,113.8,82.19,97.86,"economic_state_rnk",77.193
"19713","zcta",2020,105.9,111.77,92.46,93.79,"economic_state_rnk",59.6491
"19716","zcta",2020,NA,NA,NA,NA,"economic_state_rnk",NA
"19717","zcta",2020,NA,NA,NA,NA,"economic_state_rnk",NA
"19720","zcta",2020,104.72,110.17,87.83,95.04,"economic_state_rnk",64.0351
"19730","zcta",2020,113.87,126.99,74.19,86.78,"economic_state_rnk",94.7368
"19731","zcta",2020,41.62,121.25,79.69,98.87,"economic_state_rnk",1.7544
"19732","zcta",2020,NA,NA,NA,NA,"economic_state_rnk",NA
"19733","zcta",2020,NA,NA,NA,NA,"economic_state_rnk",NA
"19734","zcta",2020,112.54,121.3,83.42,87.85,"economic_state_rnk",89.4737
"19735","zcta",2020,NA,NA,NA,NA,"economic_state_rnk",NA
"19736","zcta",2020,NA,NA,NA,NA,"economic_state_rnk",NA
"19801","zcta",2020,81.22,113.47,76.36,105.72,"economic_state_rnk",22.807
"19802","zcta",2020,93.1,113.89,81.1,106.03,"economic_state_rnk",54.386
"19803","zcta",2020,125.31,114.34,89.87,98.83,"economic_state_rnk",92.9825
"19804","zcta",2020,103.09,112.58,95.3,95.62,"economic_state_rnk",56.1404
"19805","zcta",2020,91.87,116.77,78.79,101.41,"economic_state_rnk",43.8596
"19806","zcta",2020,126.71,117.29,80.33,101.16,"economic_state_rnk",96.4912
"19807","zcta",2020,147.09,119.79,96.17,101.03,"economic_state_rnk",100
"19808","zcta",2020,114.98,112.04,87.6,91.48,"economic_state_rnk",78.9474
"19809","zcta",2020,104.53,114.85,77.1,92.26,"economic_state_rnk",80.7018
"19810","zcta",2020,118.7,114.87,96.14,89.21,"economic_state_rnk",87.7193
"19901","zcta",2020,93.82,110.06,99.67,86.07,"economic_state_rnk",21.0526
"19902","zcta",2020,NA,NA,NA,NA,"economic_state_rnk",NA
"19904","zcta",2020,94.42,117.37,94.51,88.59,"economic_state_rnk",38.5965
"19930","zcta",2020,134.48,107.67,146.76,99.53,"economic_state_rnk",84.2105
"19931","zcta",2020,105.36,104.72,131.99,77.03,"economic_state_rnk",17.5439
"19933","zcta",2020,92.08,106.49,115.89,104.2,"economic_state_rnk",10.5263
"19934","zcta",2020,104.74,114.13,98.5,89.41,"economic_state_rnk",49.1228
"19936","zcta",2020,83.86,103.31,120.99,99.48,"economic_state_rnk",0
"19938","zcta",2020,104.07,117.56,90.21,88.62,"economic_state_rnk",66.6667
"19939","zcta",2020,105.4,105.12,132.42,107.02,"economic_state_rnk",12.2807
"19940","zcta",2020,98.85,112.54,110.76,95.95,"economic_state_rnk",26.3158
"19941","zcta",2020,90.25,104.9,99.95,97.76,"economic_state_rnk",15.7895
"19943","zcta",2020,100.01,111.28,102.1,81.63,"economic_state_rnk",35.0877
"19944","zcta",2020,123.94,99.46,148.43,103,"economic_state_rnk",52.6316
"19945","zcta",2020,112.29,108.41,124.47,107.16,"economic_state_rnk",29.8246
"19946","zcta",2020,92.46,115.03,109.63,88.09,"economic_state_rnk",14.0351
"19947","zcta",2020,92.71,111.95,111.89,105.26,"economic_state_rnk",7.0175
"19950","zcta",2020,103.01,106.19,102.39,83.24,"economic_state_rnk",28.0702
