"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"35001000107","tract",2023,93.48,107.54,118.76,86.71,"economic_score",107.97
"35001000108","tract",2023,96.82,106.48,105.79,92.52,"economic_score",100.43
"35001000109","tract",2023,95.96,96.78,133.77,79.88,"economic_score",99.93
"35001000110","tract",2023,98.56,101.08,110.03,85.6,"economic_score",99.64
"35001000111","tract",2023,87.17,100.07,95.18,83.71,"economic_score",115.34
"35001000112","tract",2023,82.71,95.34,117.77,79.53,"economic_score",115.57
"35001000113","tract",2023,95.67,102.41,94.25,80.81,"economic_score",110.58
"35001000114","tract",2023,99.88,102.73,97.59,85.19,"economic_score",101.97
"35001000115","tract",2023,106.16,103.56,78.16,82.25,"economic_score",103.48
"35001000116","tract",2023,89.29,99.16,97.54,81.28,"economic_score",116.15
"35001000117","tract",2023,92.2,104.3,112.8,81.63,"economic_score",109.41
"35001000118","tract",2023,96.45,102.32,83.29,84.75,"economic_score",104.32
"35001000119","tract",2023,83.5,89.39,123.73,79.01,"economic_score",110.96
"35001000120","tract",2023,108.45,105.49,87.9,90.09,"economic_score",98.98
"35001000121","tract",2023,111.75,96.08,102.98,88.5,"economic_score",90.42
"35001000122","tract",2023,97.21,105.53,94.3,81.81,"economic_score",109.46
"35001000123","tract",2023,99.14,104.15,106.34,77.87,"economic_score",104.06
"35001000124","tract",2023,129.77,108.51,89.73,98.37,"economic_score",83.55
"35001000125","tract",2023,80.18,97.18,115.18,79.51,"economic_score",117.33
"35001000126","tract",2023,93.86,99.04,101.34,86.14,"economic_score",105.14
"35001000127","tract",2023,99.58,97.67,102.9,82.55,"economic_score",104.27
"35001000128","tract",2023,111.02,100.62,105.66,81.16,"economic_score",93.82
"35001000129","tract",2023,115.42,96.62,94.13,90.82,"economic_score",92.39
"35001000203","tract",2023,113.52,101.42,103.69,86.23,"economic_score",93.71
"35001000204","tract",2023,101.89,94.32,128.53,80.63,"economic_score",98.46
"35001000205","tract",2023,118.73,98.59,94.59,87.53,"economic_score",84.91
"35001000206","tract",2023,99.68,100.38,104.39,85.42,"economic_score",100.16
"35001000207","tract",2023,96.46,97.33,106.02,86.86,"economic_score",98.68
"35001000208","tract",2023,115.39,112.71,109.35,83.03,"economic_score",89.09
"35001000300","tract",2023,94.2,100.01,86.33,91.65,"economic_score",105.38
"35001000401","tract",2023,93.67,95.99,99.23,90.47,"economic_score",107.61
"35001000402","tract",2023,93.56,96.04,89.86,81.64,"economic_score",110.56
"35001000501","tract",2023,120.9,95.34,110.42,88.14,"economic_score",84.56
"35001000503","tract",2023,93.21,93.7,113.26,88.74,"economic_score",101.34
"35001000504","tract",2023,85.58,96.63,89.29,94.41,"economic_score",107.62
"35001000601","tract",2023,102.23,103.46,101.21,94.78,"economic_score",97.19
"35001000603","tract",2023,123.47,98.33,75.44,105.75,"economic_score",81.55
"35001000605","tract",2023,121.65,91.76,102.68,95.86,"economic_score",75.49
"35001000704","tract",2023,95.29,99.29,105.27,87.08,"economic_score",100.47
"35001000711","tract",2023,91.62,99.44,114.59,87.35,"economic_score",105.51
"35001000712","tract",2023,110.08,104.75,95.66,85.26,"economic_score",98.28
"35001000713","tract",2023,122.8,101.61,111.82,94.17,"economic_score",79.52
"35001000714","tract",2023,102.9,97.04,121.35,86.01,"economic_score",96.44
"35001000715","tract",2023,135.83,127.59,102.98,105.66,"economic_score",64.28
"35001000716","tract",2023,123.76,97.91,101.52,87.84,"economic_score",85.28
"35001000717","tract",2023,115.32,107.55,113.33,98.97,"economic_score",74.43
"35001000718","tract",2023,96.05,101.31,107.56,102.58,"economic_score",92.04
"35001000719","tract",2023,76.66,106.3,74.43,74.46,"economic_score",128.55
"35001000720","tract",2023,82.14,103.75,130.5,84.57,"economic_score",108.12
"35001000904","tract",2023,116.09,106.24,89.15,93.17,"economic_score",91.02
"35001000905","tract",2023,116.82,105.82,99.7,88.85,"economic_score",87.98
"35001000906","tract",2023,120.98,98.99,76.06,96.26,"economic_score",82.35
"35001000907","tract",2023,140.54,97.04,107.14,97.56,"economic_score",62.21
"35001000908","tract",2023,138.98,107.87,78.89,95.83,"economic_score",73.35
"35001001101","tract",2023,90.74,96.37,104.67,86.16,"economic_score",111.31
"35001001102","tract",2023,106.65,112.55,100.65,86.58,"economic_score",106.97
"35001001201","tract",2023,138.04,102.37,80.35,100.16,"economic_score",80.6
"35001001202","tract",2023,116.21,91.74,109.75,103.07,"economic_score",70.71
"35001001300","tract",2023,121.51,102.73,101.94,94.39,"economic_score",76.83
"35001001400","tract",2023,125.72,98.25,109.61,89.83,"economic_score",80.39
"35001001500","tract",2023,110.46,93.18,87.57,99.69,"economic_score",89.53
"35001001701","tract",2023,95.72,89.2,113.31,88.03,"economic_score",104.53
"35001001702","tract",2023,117.97,103.59,65.02,97.83,"economic_score",93.8
"35001001800","tract",2023,NA,NA,NA,NA,"economic_score",NA
"35001002000","tract",2023,117.25,98.64,85.51,88.18,"economic_score",83.54
"35001002100","tract",2023,129.24,107.53,65.52,91.24,"economic_score",88.9
"35001002200","tract",2023,106.12,104,101.63,93.38,"economic_score",97.37
"35001002301","tract",2023,133.18,91.79,105.92,94.96,"economic_score",74.96
"35001002302","tract",2023,116.81,95.1,128.28,85.62,"economic_score",88.56
"35001002303","tract",2023,108.21,99.52,99.8,89.54,"economic_score",88.31
"35001002401","tract",2023,113.88,98.97,114.83,88.46,"economic_score",87.2
"35001002403","tract",2023,134.53,107.68,103.98,96.51,"economic_score",69.81
"35001002404","tract",2023,114.95,104.36,97.03,91.04,"economic_score",85.13
"35001002700","tract",2023,97.75,102.56,90.09,85.36,"economic_score",104.91
"35001002900","tract",2023,108.29,106.67,100.85,91.36,"economic_score",93.92
"35001003001","tract",2023,110.47,111.84,111.63,93.13,"economic_score",95.75
"35001003002","tract",2023,90.36,104.95,115.5,85.43,"economic_score",110.38
"35001003100","tract",2023,85.67,102.93,126.62,87.66,"economic_score",109.23
"35001003201","tract",2023,112.77,105.77,108.77,86.89,"economic_score",94.93
"35001003202","tract",2023,114.28,101.05,101.65,96.8,"economic_score",88.72
"35001003400","tract",2023,121.8,91.72,102.94,104.25,"economic_score",68.83
"35001003501","tract",2023,104.98,103.68,103.43,90.46,"economic_score",98.62
"35001003502","tract",2023,85.94,106.13,111.48,90.2,"economic_score",111.59
"35001003600","tract",2023,116.46,96.64,104.99,95.87,"economic_score",86.44
"35001003707","tract",2023,114.4,98.87,111.51,87.74,"economic_score",90.37
"35001003712","tract",2023,86.48,103.43,111.58,78.64,"economic_score",117.12
"35001003715","tract",2023,82,105.92,113.08,85.91,"economic_score",112.93
"35001003717","tract",2023,97.49,106.55,108.95,84.61,"economic_score",104.54
"35001003718","tract",2023,93.45,105.29,100.12,91.68,"economic_score",105.73
"35001003719","tract",2023,87.07,101.09,111.03,77.17,"economic_score",115.42
"35001003722","tract",2023,85.95,108.92,77.04,83.92,"economic_score",124.65
"35001003723","tract",2023,103.7,95.57,111.58,86.52,"economic_score",91.04
"35001003724","tract",2023,85.27,103.61,119.91,81.72,"economic_score",117.18
"35001003725","tract",2023,112.57,104.72,102.81,83.65,"economic_score",97.16
"35001003726","tract",2023,74.98,108.78,106.92,82.84,"economic_score",129.59
"35001003728","tract",2023,97.39,101.52,90.07,80.91,"economic_score",108.91
"35001003729","tract",2023,82.64,105.42,110.41,86.27,"economic_score",117.32
"35001003730","tract",2023,78.65,106.61,101.72,79.11,"economic_score",126.46
"35001003731","tract",2023,69.42,102.83,109.89,83.86,"economic_score",128.14
"35001003733","tract",2023,139.86,87.58,85.64,90.07,"economic_score",72.95
"35001003736","tract",2023,98.66,96.31,93.21,90.19,"economic_score",93.81
"35001003737","tract",2023,78,93.51,101.01,75.39,"economic_score",118.82
"35001003738","tract",2023,92.75,101.25,90,79.92,"economic_score",107.2
"35001003739","tract",2023,90.36,102.91,106.27,82.18,"economic_score",112.76
"35001003740","tract",2023,106.98,113.16,66.96,85.12,"economic_score",104.77
"35001003741","tract",2023,63.25,95.18,121.82,80.38,"economic_score",129.74
"35001003742","tract",2023,78.27,95.09,122.28,84.52,"economic_score",114.76
"35001003743","tract",2023,86.96,110.75,87.32,82.62,"economic_score",122.63
"35001003744","tract",2023,67.15,115.27,72.51,77.74,"economic_score",137.22
"35001003745","tract",2023,136.74,101.33,134.75,85.48,"economic_score",85.71
"35001003746","tract",2023,83.21,105.35,88.75,80.19,"economic_score",118.84
"35001003803","tract",2023,79.84,98.6,105.53,79.9,"economic_score",116.58
"35001003804","tract",2023,89,105.26,106.47,85.51,"economic_score",113.6
"35001003805","tract",2023,93.36,99.19,118.9,82.9,"economic_score",103.76
"35001003806","tract",2023,85.01,101.78,111.96,83.84,"economic_score",115.14
"35001003807","tract",2023,103.58,97.61,129.3,85.42,"economic_score",102.45
"35001004001","tract",2023,107.87,98.84,105.86,93.12,"economic_score",89.54
"35001004300","tract",2023,120.3,99.67,116.22,96.78,"economic_score",78.49
"35001004401","tract",2023,121.96,100.04,130.03,91.95,"economic_score",75.1
"35001004402","tract",2023,114.58,98.41,106.59,86.01,"economic_score",87.78
"35001004501","tract",2023,131.25,121.9,104.62,101.44,"economic_score",70.63
"35001004502","tract",2023,106.9,95.2,112.32,89.67,"economic_score",83.85
"35001004602","tract",2023,110.15,102.1,128.45,83.72,"economic_score",92.74
"35001004603","tract",2023,102.8,94.6,125.78,84.29,"economic_score",93.81
"35001004604","tract",2023,98.47,99.24,113.04,84.03,"economic_score",93.36
"35001004712","tract",2023,107.42,100.95,85.18,85.25,"economic_score",97.52
"35001004713","tract",2023,116.53,113.34,88.55,86.11,"economic_score",93.44
"35001004715","tract",2023,118.09,102.85,103.25,97,"economic_score",79.49
"35001004716","tract",2023,95.24,124.52,88.67,95.33,"economic_score",111.06
"35001004720","tract",2023,98.08,101.83,124.4,84.47,"economic_score",100.65
"35001004722","tract",2023,85.24,107.46,85.67,81.19,"economic_score",117.48
"35001004723","tract",2023,90.66,104.95,103.35,81.15,"economic_score",112.63
"35001004724","tract",2023,90.23,96.44,116.67,82.99,"economic_score",107.58
"35001004725","tract",2023,93.4,105.42,114.2,79.39,"economic_score",106.16
"35001004726","tract",2023,90.95,96.79,109.25,82.23,"economic_score",104.42
"35001004727","tract",2023,97.8,101.53,112.56,81.47,"economic_score",105.15
"35001004728","tract",2023,101.02,103.39,120.75,84.15,"economic_score",98.49
"35001004729","tract",2023,91.15,102.55,122.4,85.05,"economic_score",104.85
"35001004733","tract",2023,124.54,111.01,94.14,92.26,"economic_score",83.89
"35001004734","tract",2023,107.79,107.69,83.07,94.47,"economic_score",87.01
"35001004735","tract",2023,108.53,104.3,82.39,95.98,"economic_score",86.48
"35001004736","tract",2023,118.58,95.07,89.52,111.84,"economic_score",70.15
"35001004737","tract",2023,100.98,103.93,67.81,79.63,"economic_score",104.06
"35001004738","tract",2023,114.65,101.49,94.15,97.58,"economic_score",86
"35001004739","tract",2023,123.85,107.99,83.28,83.69,"economic_score",89.96
"35001004742","tract",2023,100.59,104.16,86.54,84.27,"economic_score",102.01
"35001004743","tract",2023,107.27,107.75,85.48,81.95,"economic_score",106.59
"35001004744","tract",2023,87.19,107.64,100.42,82.89,"economic_score",111.2
"35001004745","tract",2023,95.04,105.11,97.72,80.26,"economic_score",110.77
"35001004747","tract",2023,108.13,104.12,100.85,84.69,"economic_score",98.73
"35001004749","tract",2023,120.94,101.04,88.95,87.72,"economic_score",89.35
"35001004750","tract",2023,100.98,106.55,90.73,83.98,"economic_score",104.4
"35001004752","tract",2023,100.27,106.27,104.7,87.26,"economic_score",101.37
"35001004753","tract",2023,78.58,101.48,91.59,88.59,"economic_score",116.5
"35001004754","tract",2023,94.32,106.11,88.42,81.69,"economic_score",107.75
"35001004755","tract",2023,86,100.54,87.8,74.7,"economic_score",115.67
"35001004756","tract",2023,87.37,103.15,91.01,78.49,"economic_score",115.11
"35001004757","tract",2023,98.89,105.54,90.07,80.15,"economic_score",107.69
"35001004758","tract",2023,91.72,104.95,88.98,76.55,"economic_score",114.89
"35001004759","tract",2023,117.09,97.93,81.92,99.43,"economic_score",80.27
"35001004760","tract",2023,123.42,99.63,100.2,91.77,"economic_score",80.57
"35001004761","tract",2023,92.8,101.11,68.49,77.13,"economic_score",108.32
"35001004762","tract",2023,110.87,102,83.07,84.19,"economic_score",93.01
"35001004763","tract",2023,92.54,100.73,86.08,88.73,"economic_score",106.68
"35001004764","tract",2023,97.26,103.47,79.73,86.67,"economic_score",105.44
"35001004800","tract",2023,110.84,95.01,102.98,91.44,"economic_score",93.37
"35001004900","tract",2023,109.81,102.97,90.31,96.99,"economic_score",93.72
"35001940500","tract",2023,73.66,96.46,138.57,83.64,"economic_score",117.06
"35001940601","tract",2023,88.3,109.4,77.85,80.15,"economic_score",121.79
"35001940602","tract",2023,145.63,85.38,128.01,97.91,"economic_score",56.08
"35001940700","tract",2023,116.67,79.22,129.81,92.25,"economic_score",76.78
"35001940800","tract",2023,NA,NA,NA,NA,"economic_score",NA
"35001980000","tract",2023,94.31,100.01,96.76,74.59,"economic_score",99.79
"35001980300","tract",2023,NA,NA,NA,NA,"economic_score",NA
"35001980500","tract",2023,NA,NA,NA,NA,"economic_score",NA
"35001980600","tract",2023,NA,NA,NA,NA,"economic_score",NA
"35003976401","tract",2023,129.08,89.63,159.21,79.34,"economic_score",70.29
"35003976402","tract",2023,115.23,87.43,166.9,78.91,"economic_score",75.37
"35005000201","tract",2023,111.25,94.82,101.14,107.86,"economic_score",90.3
"35005000202","tract",2023,146.22,99.96,100.6,110.67,"economic_score",71.82
"35005000301","tract",2023,119.11,86.5,114.27,98.84,"economic_score",81.69
"35005000302","tract",2023,127.77,95.47,114.64,116.09,"economic_score",76.21
"35005000400","tract",2023,136.96,93.26,105.56,105.49,"economic_score",67.85
"35005000500","tract",2023,128.93,108.91,99.51,106.5,"economic_score",76.55
"35005000600","tract",2023,151.79,102.23,98.02,119.97,"economic_score",58.64
"35005000700","tract",2023,116.76,96.51,121.05,101.49,"economic_score",79.77
"35005000800","tract",2023,105.4,91.81,106.56,104.17,"economic_score",91.67
"35005000900","tract",2023,110.48,92.49,120.87,96.55,"economic_score",97.87
"35005001001","tract",2023,96.13,96.81,118.12,93.64,"economic_score",102.62
"35005001002","tract",2023,103.48,99.07,127.77,104.83,"economic_score",98.89
"35005001101","tract",2023,124.4,91.44,111.78,103.53,"economic_score",74
"35005001102","tract",2023,117.78,97.58,109.14,96.49,"economic_score",91.32
"35005001200","tract",2023,118.63,85.13,112.94,101.61,"economic_score",78.92
"35005001300","tract",2023,123.62,92.96,121.4,105.48,"economic_score",74.4
"35005001400","tract",2023,113.41,82.13,113.76,103.39,"economic_score",79.91
"35006941500","tract",2023,126.39,86.9,126.09,85.36,"economic_score",67.8
"35006945800","tract",2023,145.32,80.8,115.86,87.11,"economic_score",59.53
"35006946100","tract",2023,131.31,79.19,128.22,85.26,"economic_score",64.59
"35006974201","tract",2023,128.34,96.2,103.58,79.45,"economic_score",78.01
"35006974202","tract",2023,122.7,86.44,124.05,72.75,"economic_score",81.3
"35006974401","tract",2023,157.95,98.9,112.42,78.54,"economic_score",72.68
"35006974402","tract",2023,127.56,91.65,104.72,88.06,"economic_score",69.05
"35006974701","tract",2023,104.15,92.14,139.31,79.01,"economic_score",91.97
"35006974702","tract",2023,109.8,95.86,150.89,63.81,"economic_score",87.01
"35007950500","tract",2023,113.06,92.64,137.4,76.39,"economic_score",83.69
"35007950600","tract",2023,116.66,100.49,139.73,81.7,"economic_score",82.67
"35007950700","tract",2023,106.33,93.53,147.66,82.12,"economic_score",85.56
"35009000100","tract",2023,136.2,91.43,105.47,93.12,"economic_score",61.56
"35009000201","tract",2023,117.95,99.08,91.38,81.2,"economic_score",88.51
"35009000202","tract",2023,121.29,99.62,93.89,85.15,"economic_score",80.96
"35009000303","tract",2023,100.2,107.05,96.34,86.38,"economic_score",100.59
"35009000305","tract",2023,127.77,101.58,85.04,78.27,"economic_score",85.09
"35009000306","tract",2023,127.46,104.74,96.27,85.42,"economic_score",78.13
"35009000307","tract",2023,93.94,110.29,88.91,74.25,"economic_score",110.44
"35009000308","tract",2023,99.28,106.61,99.55,73.58,"economic_score",107.79
"35009000400","tract",2023,136.64,89.38,105.82,99.68,"economic_score",60.74
"35009000500","tract",2023,122.47,88.62,104.81,82.67,"economic_score",75.08
"35009000601","tract",2023,113.86,88.93,122.92,85.12,"economic_score",83.41
"35009000602","tract",2023,103.72,109.41,84.68,79.57,"economic_score",103.35
"35009000603","tract",2023,109.66,98.3,110.44,80.56,"economic_score",86
"35009000900","tract",2023,99.77,96.91,55.12,71.98,"economic_score",108.66
"35011960100","tract",2023,106.83,96.81,120.79,83.73,"economic_score",83.42
"35013000102","tract",2023,119.73,96.74,118.12,102.03,"economic_score",79.94
"35013000103","tract",2023,119.37,102.04,108.43,101.13,"economic_score",79.45
"35013000104","tract",2023,115.34,103.37,113.92,104.07,"economic_score",86.62
"35013000203","tract",2023,113.53,99.11,121.58,92.9,"economic_score",92.58
"35013000204","tract",2023,111.06,105.71,78.95,88.36,"economic_score",99.26
"35013000205","tract",2023,112.96,95.37,171.66,97.27,"economic_score",76.26
"35013000206","tract",2023,106.59,89.78,102.39,91.14,"economic_score",92.08
"35013000300","tract",2023,120.97,102.53,92.42,100.17,"economic_score",81.1
"35013000401","tract",2023,132.79,97.2,106.74,98.21,"economic_score",76.62
"35013000402","tract",2023,125.75,104.61,100.38,95.53,"economic_score",82.84
"35013000500","tract",2023,125.23,86.98,115.88,106.52,"economic_score",73.4
"35013000600","tract",2023,125.52,94.59,91.51,109.43,"economic_score",75.98
"35013000700","tract",2023,131.12,101.57,90.77,98.15,"economic_score",79.31
"35013000800","tract",2023,142.15,99.26,78.26,97.76,"economic_score",74.49
"35013000901","tract",2023,151.52,137.43,128.52,107.38,"economic_score",56.04
"35013000902","tract",2023,124.68,104.66,68.46,102.03,"economic_score",84.49
"35013001000","tract",2023,NA,NA,NA,NA,"economic_score",NA
"35013001102","tract",2023,101.5,94.99,119.51,101.16,"economic_score",90.91
"35013001103","tract",2023,109.67,102.53,115.07,104.08,"economic_score",87.67
"35013001105","tract",2023,117.4,98.55,96.5,107.3,"economic_score",80.54
"35013001106","tract",2023,107.39,100.23,88.75,90.55,"economic_score",97.3
"35013001203","tract",2023,115.04,90.24,106.68,96.98,"economic_score",82.73
"35013001204","tract",2023,89.24,95.1,131.11,88.36,"economic_score",111.28
"35013001205","tract",2023,92.48,90.93,141.49,92.7,"economic_score",98.91
"35013001206","tract",2023,90.53,106.29,106.15,85.16,"economic_score",114.85
"35013001207","tract",2023,108.92,90.55,133.87,86.82,"economic_score",89.96
"35013001208","tract",2023,94.69,99.36,104.08,84.73,"economic_score",112.65
"35013001209","tract",2023,93.39,93.24,131.14,101.52,"economic_score",100.16
"35013001210","tract",2023,85.28,105.71,122.33,100.41,"economic_score",109.36
"35013001308","tract",2023,102.15,102.77,85.63,88.75,"economic_score",109.7
"35013001309","tract",2023,112.54,103.67,102.8,99.12,"economic_score",83.06
"35013001310","tract",2023,103.19,96.57,84.49,84.33,"economic_score",107.22
"35013001311","tract",2023,103.72,105.38,90.7,92,"economic_score",103.39
"35013001312","tract",2023,107.8,95.87,98.42,83.7,"economic_score",100.21
"35013001313","tract",2023,117.59,90.54,111.91,109.38,"economic_score",79.65
"35013001314","tract",2023,126.09,89.24,120.52,99.32,"economic_score",76.62
"35013001315","tract",2023,104.99,98.3,123.24,109.57,"economic_score",79.38
"35013001316","tract",2023,111.97,96.08,94,91.91,"economic_score",90.63
"35013001317","tract",2023,104.89,88.64,121.29,85.13,"economic_score",92.07
"35013001318","tract",2023,106.51,92.5,132.53,101.38,"economic_score",85.98
"35013001401","tract",2023,131.42,86.88,138.81,88.41,"economic_score",62.98
"35013001402","tract",2023,122.5,87,107.93,104.33,"economic_score",71.27
"35013001501","tract",2023,94.03,94.45,153.5,88.22,"economic_score",102.37
"35013001502","tract",2023,130.17,103.83,117.65,94.2,"economic_score",84.21
"35013001600","tract",2023,118.63,91.89,128.33,91.67,"economic_score",83.43
"35013001701","tract",2023,118.46,106.88,81.27,94.72,"economic_score",93.44
"35013001702","tract",2023,118.17,88.63,130.13,97.01,"economic_score",80.83
"35013001703","tract",2023,107.11,99.84,108.69,94.6,"economic_score",96.67
"35013001705","tract",2023,130.69,96.94,102.9,114.75,"economic_score",66.23
"35013001706","tract",2023,125.39,96.33,105.01,96.67,"economic_score",78.99
"35013001707","tract",2023,131.56,94.99,102.41,114.09,"economic_score",61.42
"35013001805","tract",2023,134.78,86.68,110.78,109.01,"economic_score",59.83
"35013001807","tract",2023,150.78,94.05,101.55,117.04,"economic_score",54.73
"35013001808","tract",2023,138.41,99.83,106.16,99.98,"economic_score",74.05
"35013001809","tract",2023,127.69,93.6,132.37,92.75,"economic_score",68.25
"35013001810","tract",2023,118.06,84.92,118.97,96.42,"economic_score",72.59
"35013001811","tract",2023,132.49,86.95,121.44,92.39,"economic_score",74.21
"35013001812","tract",2023,138.31,90.6,113.06,110.01,"economic_score",59.96
"35013001813","tract",2023,128.18,92.69,107.64,105.41,"economic_score",60.26
"35013001814","tract",2023,146.47,102.72,109.78,85.66,"economic_score",78.05
"35013001900","tract",2023,102.92,95.74,59.02,84.94,"economic_score",109.81
"35015000100","tract",2023,109.94,94.99,94.33,96,"economic_score",89.99
"35015000200","tract",2023,90.14,94.7,100.54,95.03,"economic_score",106.96
"35015000300","tract",2023,97.05,99.04,98.47,103.8,"economic_score",95.72
"35015000401","tract",2023,107.95,94.44,119.16,96.71,"economic_score",89.79
"35015000402","tract",2023,112.29,89.66,98.02,104.89,"economic_score",80.76
"35015000500","tract",2023,118.45,87.03,102.25,94.24,"economic_score",83.25
"35015000600","tract",2023,106.27,90.34,118.91,95.98,"economic_score",88.19
